practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
40417	2216	G14 9UT	NS 53742 67062	253742	667062	55.874452	-4.3392599
40421	2576	G15 7TS	NS 51890 71060	251890	671060	55.909777	-4.3710215
40436	5142	G15 7TS	NS 51890 71060	251890	671060	55.909777	-4.3710215
40455	6820	G3 8ND	NS 57173 65819	257173	665819	55.864322	-4.2838154
40460	2103	G12 8ND	NS 57214 66892	257214	666892	55.873968	-4.2837263
40493	2381	G14 0XT	NS 52422 68421	252422	668421	55.88625	-4.3610786
40525	4641	G14 0NT	NS 51162 68788	251162	668788	55.889156	-4.3814061
40544	3050	G15 7TS	NS 51890 71060	251890	671060	55.909777	-4.3710215
40559	2700	G15 7TS	NS 51890 71060	251890	671060	55.909777	-4.3710215
40563	2082	G14 9XL	NS 53174 67472	253174	667472	55.87796	-4.3485521
40578	3767	G14 9DR	NS 53183 67523	253183	667523	55.878421	-4.3484361
40582	6050	G81 1BS	NS 50130 69783	250130	669783	55.897768	-4.3984423
40629	5332	G14 9PS	NS 53649 67162	253649	667162	55.875322	-4.340799
40691	6912	G81 1BS	NS 50130 69783	250130	669783	55.897768	-4.3984423
40703	2990	G81 1BS	NS 50130 69783	250130	669783	55.897768	-4.3984423
40718	8035	G12 8SP	NS 56590 66933	256590	666933	55.87415	-4.2937125
40722	4307	G15 7TS	NS 51890 71060	251890	671060	55.909777	-4.3710215
40737	6546	G14 9SS	NS 52652 68119	252652	668119	55.883609	-4.3572404
40741	9268	G61 2SY	NS 54380 71903	254380	671903	55.918105	-4.3316786
43011	5751	G20 8FB	NS 56708 68685	256708	668685	55.889914	-4.2927556
43030	10376	G66 1DH	NS 65113 73910	265113	673910	55.939255	-4.1610831
43044	6391	G66 1JB	NS 65463 73912	265463	673912	55.939371	-4.1554851
43059	9329	G64 1PJ	NS 61238 70128	261238	670128	55.904197	-4.2211254
43063	2752	G21 1TR	NS 60671 67749	260671	667749	55.882674	-4.2289616
43082	2333	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
43097	2945	G21 1TR	NS 60671 67749	260671	667749	55.882674	-4.2289616
43100	7217	G66 1NH	NS 65338 73568	265338	673568	55.936247	-4.157313
43114	10430	G66 1DN	NS 65188 73902	265188	673902	55.939204	-4.1598793
43129	3493	G21 1TR	NS 60671 67749	260671	667749	55.882674	-4.2289616
43133	5638	G21 4AH	NS 60743 67037	260743	667037	55.876303	-4.2274453
43167	5493	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
43171	7924	G64 1PJ	NS 61238 70128	261238	670128	55.904197	-4.2211254
43186	6624	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
43191	3314	G20 7ER	NS 58008 67509	258008	667509	55.879742	-4.2713706
